id,facebook_id,page_name,page_type
109,113077252063553,Bronisław Komorowski,politician
110,180642835333445,CERT-RO,government
111,445821135487302,Inside Amy Schumer,tvshow
112,131588424007,U.S. Presidential Scholars Program,government
113,404948826259784,Senator James McGrath,politician
114,165787053523275,"Philippe Noguès, une voix de gauche",politician
115,160653460701518,Crackets,company
116,440677362630997,Sebastian Galmarini,politician
117,109295382430039,RECLAME,tvshow
118,19027744005,Vesna Pusić,politician
119,109735015743837,Barwy Szczęścia,tvshow
120,123905300955489,Ejército Nacional de Colombia,government
121,236123129774435,"City of Fremont, CA Government",government
122,187586581285368,Procuraduría General de la República,government
123,440868732600680,USAID Pakistan,government
124,726315847385449,Doritos,company
125,503105919713649,Disneyland Jobs,company
126,124157780951417,ESET,company
127,354595427910013,GovX,company
128,243173360004,New York Style,company
129,173347701125,Governor Jan Brewer,politician
130,172313069486470,USAID Eastern and Southern Caribbean,government
131,441049269272968,Bouchon Bistro,company
132,428205943882121,DON Smallgoods,company
133,135381669839242,Sandia National Labs,government
134,368446079376,Academy Sports + Outdoors,company
135,101777342866,AIDA,company
136,631919500263831,Canada and Iran,government
137,272511339506416,豐原監理站,government
138,121538151580066,Peter Kraus,politician
139,770543166292392,Jumia,company
140,368704976650667,SoFlo TASTE,tvshow
141,91116022514,White Collar,tvshow
142,379228478788668,B&G Pickles & Peppers,company
143,1838800826401201,194th Wing,government
144,62894440884,Bajnai Gordon,politician
145,177828029071801,Michael Leutert,politician
146,1403712706511292,Uwe Schünemann MdL,politician
147,134964869923261,MOPC Paraguay,government
148,144878942355905,New York City Law Department,government
149,319501934789059,KLM México,company
150,97279934919,BP America,company
151,786036081426888,Au secours de Béatrice,tvshow
152,9885974987,Dragons' Den,tvshow
153,594399277278367,hessenschau,tvshow
154,61828104655,City of Kitchener,government
155,175986319185315,Kátia Abreu,politician
156,1385983704957396,Jakob von Weizsäcker,politician
157,216190061773271,US National Weather Service Blacksburg VA,government
158,380383308677595,Mirinda Arabia,company
159,167394579972573,JRTC and Fort Polk,government
160,443442745770466,Department of Transport,government
161,750282211721700,UR Orka plugga,tvshow
162,232286700306917,Jayant Sinha,politician
163,221774737965548,Cancelaria de Stat a Republicii Moldova,government
164,233815212529,Comunidad Movistar Argentina,company
165,102601993617906,German Consulate General Vancouver,government
166,655425904574963,Turkish Presidency,government
167,119837032950,US Embassy Abu Dhabi,government
168,172681179452841,Matrix Professional Haircare & Color,company
169,717846764913149,Laboratório Hacker - Câmara dos Deputados,government
170,632550910198276,صندوق أبوظبي للمعاشات,government
171,650700358287878,The Belgian Navy,government
172,289923924487,Ridestore,company
173,134470763282957,European Union in Israel,government
174,1617350448513550,Bosch Herramientas Eléctricas Profesionales y Accesorios,company
175,114445021926829,Deportes CNN,tvshow
176,174970176018,Horacio Rodríguez Larreta,politician
177,217552831709715,Ministerio de Trabajo El Salvador,government
178,554754457928212,Clangers,tvshow
179,194981427216918,Hoka One One,company
180,268340433322523,Gavin Shuker MP,politician
181,174298126352925,Peace Corps Comoros,government
182,773666216018465,NSW SES Glen Innes,government
183,189426624430626,Christchurch City Council,government
184,126442007429667,KLM Russia,company
185,28768797221,Ghost Whisperer,tvshow
186,433213220061734,曹嘉豪,politician
187,464998863536680,Bill Shorten MP,politician
188,131890253529641,Black Hills VA Health Care System,government
189,196396587232007,"Ministry of Micro, Small and Medium Enterprises,Government of India",government
190,260507710718508,Vigor Brasil,company
191,205987562783277,Ruth Ellen Brosseau,politician
192,152762631455280,Philippine Embassy in Thailand,government
193,167542776660532,Atmosphere,company
194,134780953231454,Região da capital dos EUA,company
195,851584041550394,Mauricio Osorio Domínguez,politician
196,418893364920895,Préfet de Loir et Cher,government
197,1431984283714112,U.S. Forest Service,government
198,111151325577312,Johnnie’s New York Pizzeria,company
199,132945996743236,7-Eleven Australia,company
200,516725565030981,Brendan Boyle,politician
201,164169413624390,ABC Lebanon,company
202,441907505922632,Paolo De Castro,politician
203,199793346871881,Benedita da Silva,politician
204,255750901203533,Norteñita,company
205,79167160914,Tablespoon.com,company
206,154408241398357,UPRA Colombia,government
207,123360237716054,"Woodstock Police, GA",government
208,1501439083479639,關務署,government
209,294019144024664,Ileana Argentin,politician
210,796065777123932,Karen Ludwig,politician
211,888931797828199,Ryszard Wilczyński,politician
212,351338968253034,Dilma Rousseff,politician
213,249087185125997,Tuggerah Lakes LAC - NSW Police Force,government
214,668623963226740,Travel Alberta,company
215,164130194037,Museos del Banco de la República,government
216,355565337903738,Dagmar Ziegler MdB,politician
217,330250343871,Jeremy Corbyn,politician
218,111101068968572,Secretaría de Gobernación,government
219,1592040124383871,352d Special Operations Wing,government
220,610012855796352,Sharon Hodgson,politician
221,17433690754,Glassdoor,company
222,152492071518860,NSW SES - Hornsby Unit,government
223,141651685862427,500 Startups,company
224,374756619256467,Front Street Animal Shelter - City of Sacramento,government
225,231656403567259,Lorenz Caffier,politician
226,148134965281436,Cuarto Milenio,tvshow
227,195184929562,Pillsbury,company
228,145995252105886,Fort Bragg Wildlife Branch,government
229,419439154823845,Peppe De Cristofaro,politician
230,178872845468327,Metin Hakverdi,politician
231,179486155473577,Kathleen Lynch,politician
232,954835224560299,UNLV Police Services,government
233,117283058287279,Covert Affairs,tvshow
234,554739894638025,Councillor Adam Allan,politician
235,170179299705530,澎湖縣政府,government
236,117737338241724,M&M’S Italia,company
237,28613018301,Baci Perugina,company
238,160579703997119,European Union in Thailand,government
239,617033428501184,Florian Toncar,politician
240,191810904195780,Go Coast Guard,government
241,65727594614,Brandon Creighton,politician
242,1528846760739532,Arizona Capitol Museum,government
243,780521878717133,"Flight Centre Travel Group, The Americas",company
244,330566160483024,Sergio Casas,politician
245,71091028689,Sleep Number Careers,company
246,669243103118034,Bodo Ramelow,politician
247,160312404017880,GO! Das Motormagazin,tvshow
248,223049284387547,KLM Argentina,company
249,293329607459548,"Metro Railway, Kolkata",government
250,146941488726138,Samsung,company
251,112856972067554,LowLow,company
252,115745095172649,Kingdom of the Netherlands in Canada,government
253,1643711989285607,Göç İdaresi Genel Müdürlüğü,government
254,390109821076200,Rodriguez Army Health Clinic,government
255,111132279529,BoA,company
256,984665731564266,Valdis Dombrovskis,politician
257,1131869050241771,Alex Zeyer,politician
258,148885741961966,The Profit,tvshow
259,163973103682288,Emine SARI Official,company
260,430791373663017,宜蘭縣政府衛生局,government
261,470872909742841,舞吧舞吧在一起,tvshow
262,180048798810876,Windows,company
263,1483994771882749,Old Home Love,tvshow
264,43394094549,Man v. Food Nation,tvshow
265,1554238491460357,聽見幸福,tvshow
266,687001264739799,臺北市政府消防局,government
267,46612109048,Superbook,tvshow
268,183554364998416,Richard Acuña N.,politician
269,495669723923221,Παύλος Πολάκης / Pavlos Polakis,politician
270,194091260642071,"Troop Command Family Readiness Group, Brooke Army Medical Center",government
271,32533512985,Maxis,company
272,877944875582234,Ali Atalan,politician
273,273432986059547,China Eastern Air(동방항공),company
274,571236856234782,Fashion Queens,tvshow
275,210015559156513,Al Jazeera America Presents,tvshow
276,135119606514471,ASADA,government
277,214544208560939,US National Weather Service Detroit / Pontiac Michigan,government
278,123151319852,Arnold Bread,company
279,212618008920877,UP&GO,company
280,1524072161215280,Digicel,company
281,120385018004273,صباح الخير يا عرب,tvshow
282,117855458231092,Jersey Couture,tvshow
283,798227683607349,Louise Schack Elholm,politician
284,105479482835768,Goodluck Jonathan,politician
285,197360157500,Canada Explorez sans fin,company
286,119861548089482,Subway UK & Ireland,company
287,105532425026,Milk,company
288,165501993099,Lenovo Malaysia,company
289,164854100591430,Ministero degli Affari Esteri e della Cooperazione Internazionale,government
290,568839896564552,Marie-Claude Bibeau,politician
291,1469058970026832,Dagoberto Nogueira,politician
292,594819180659537,Consulado General del Perú en Frankfurt,government
293,486301424808499,Ignazio Cassis,politician
294,1085101198213262,Azərbaycan Respublikası Müdafiə Nazirliyi,government
295,434952569881430,The Voice of the Philippines,tvshow
296,205572482794329,US National Weather Service Topeka Kansas,government
297,67556672348,Unang Hirit,tvshow
298,18560189277,The Secret Life of the American Teenager,tvshow
299,171977786196835,Andhra Pradesh Tourism,government
300,127922087253478,Dunedin City Council,government
301,163157460406747,319th MPAD,government
302,113413235475306,Murray Rankin,politician
303,213172965475179,Austrian Office Taipei 奧地利台北辦事處,government
304,12635800428,John Key,politician
305,946491885372768,Attorney-General's Department,government
306,6185812851,American Express,company
307,318319690614,British Army,government
308,225686640853885,German Embassy Colombo,government
309,460968364082048,Embassy of Belgium in Zagreb,government
310,362925240789824,Mascotas Argentinas - Protenencia,government
311,206759496177133,Ellen Sandell,politician
312,241601099203475,TrueNorth,company
313,221767827981204,Transport for NSW,government
314,1249194705159064,Antje Tillmann,politician
315,558112327599003,Consulat général du Canada à Atlanta,government
316,189690641187741,Ain't That America With Lil Duval,tvshow
317,1494712497406878,Tadeu Alencar,politician
318,340627227551,Just Eat UK,company
319,131038446496,TracFone Wireless,company
320,693749334038000,Atención Primaria de la Salud en Paraguay,government
321,325227794269092,"Rachael Harder, MP",politician
322,252750638220197,Robert von Olberg,politician
323,38040830889,Oregon Department of Fish and Wildlife,government
324,388899148137392,Justis- og beredskapsdepartementet,government
325,521441554662321,"Press Information Bureau - PIB,  Government of India",government
326,177189402313658,Israel in Boston,government
327,5987042235,Ben & Jerry's,company
328,213639758781,DiGiorno,company
329,243696175809471,USS Iwo Jima LHD 7,government
330,6399067073,ThinkGeek,company
331,120251049238,Coffee-mate,company
332,398675146900419,José Luis Gioja,politician
333,93342532548,TomTom,company
334,144032345752517,Jürgen Coße,politician
335,175691872601030,German Embassy Singapore,government
336,187924271334343,Ministère de la Communication,government
337,402556173091789,Moapa Valley National Wildlife Refuge,government
338,1463705733891023,U.S. Forest Service- Tahoe National Forest,government
339,126834980750296,All Hands Magazine,government
340,1515585551990948,JustFab,company
341,780666715374556,Préfecture de la Somme,government
342,148900938515423,Sofie Carsten Nielsen,politician
343,119033224823776,USAID Central Asia,government
344,352556431573989,Dance Mums with Jennifer Ellison,tvshow
345,145096738997224,"Ministère de l'Enseignement Supérieur, de la Recherche, et de l'Innovation",government
346,168442899846653,Ministry of Finance (Singapore),government
347,526941187343344,New York Power Authority,government
348,141409815920808,Microsoft Edge,company
349,193589904016370,Compumundo,company
350,105097232909305,US National Weather Service Melbourne Florida,government
351,411991108813820,American Express,company
352,177905578935293,ABB,company
353,174876119204869,Martín Insaurralde,politician
354,497253203641353,"Vårt lille land, TV 2",tvshow
355,125530084148237,Nike+ Run Club,company
356,262068223869967,NYPD,government
357,588920891245585,莫非，這就是愛情,tvshow
358,264000913802258,"Ministry of Environment, Forests & Climate Change, Government of India",government
359,153053401449492,Crocs,company
360,179326165451798,Cristina Cifuentes,politician
361,1694841994085399,Dominique Anglade,politician
362,1639000493065240,Dr. Jens Katzek,politician
363,205844552777903,ABB,company
364,20597769245,Loïc Hervé,politician
365,144178562335775,Betinho Gomes,politician
366,336815064097,Babel,tvshow
367,140501142799399,Motive,tvshow
368,197862760252456,Missouri River Recovery Program,government
369,643840382338092,Axel Schäfer,politician
370,108669062546478,UAEmGov,government
371,129524083786800,Embajada de Finlandia Chile - Suomen suurlähetystö Chile,government
372,155250601296949,Jesper Würtzen,politician
373,157988744386057,Sea-Doo,company
374,220346585088181,Peace Corps Samoa,government
375,180220288697411,USAID/Egypt,government
376,318186341532740,Caged,tvshow
377,300764263285830,128th Mobile Public Affairs Detachment,government
378,367062960089953,T.C. Vilnius Büyükelçiliği / Turkish Embassy in Vilnius,government
379,308976223304,Tintas Coral,company
380,1569656739923017,Waikato Police,government
381,268780616614989,Finding Carter,tvshow
382,147495111951446,Israel in Ethiopia,government
383,62014882904,Bureau of Reclamation,government
384,114455935321178,CDF,company
385,1519753838265436,UNASUR,government
386,146002688803933,Abu Dhabi Fund for Development,government
387,138567356175888,ITV News West Country,tvshow
388,17156801635,Odwalla,company
389,487136531338769,State Representative Nicole Collier,politician
390,410253955761259,The Real Housewives of Melbourne,tvshow
391,529852543796332,NYS Thruway Authority,government
392,197070314013807,NSW Government,government
393,112015420615,Científicos Industria Argentina,tvshow
394,141280905921653,MTN Ghana,company
395,118052160630,NSW Maritime,government
396,199665613407353,La Voz México,tvshow
397,1387807858099325,The Chase USA,tvshow
398,371863612949631,"Representative Ramon Romero, Jr.",politician
399,353037761381505,Abarth,company
400,268521702534,"Sylvester Turner, Mayor of Houston",government
401,309107999114376,Cheerios UK,company
402,60671132809,Deutsche Botschaft Ankara,government
403,60265923724,Jean D'Amour,politician
404,729234427217039,"Embassy of Afghanistan in Rome, Italy",government
405,62148248732,U.S. Naval Air Forces,government
406,145091098903710,NSW SES,government
407,270788920480,Europees Parlement Nederland,government
408,240261406065825,Nationwide Building Society,company
409,82491933861,Eggland's Best Eggs,company
410,407288339301542,The Mindy Project,tvshow
411,285785034937884,Wafacash,company
412,350005778449581,Gabi Weber,politician
413,1454152968176814,Figen Yüksekdağ,politician
414,121003161289904,[N.A!] Nature Addicts,company
415,608925165792115,Kementerian Perdagangan,government
416,644020885718196,Canyon,company
417,24352982198,Ida Auken,politician
418,1636801383302328,"Department of Dairy Development, Uttarakhand",government
419,259639280826,Suomen Huippumalli haussa,tvshow
420,121096461288638,Disney On Ice,company
421,143112144064,Movistar Guatemala,company
422,245945852526795,Andrew J. Ullmann,politician
423,117039248377028,LION Cereals,company
424,209128272561351,House Committee on Rules - Republicans,government
425,92378498253,OLD BAY® Seasoning,company
426,228759177135310,U.S. Citizenship and Immigration Services,government
427,136836306502867,Amran Hussain,politician
428,195063842004,BBC EastEnders: E20,tvshow
429,640307582665941,GoAir,company
430,209962952426715,"India in Spain (Embassy of India, Madrid)",government
431,308776535260,97th MP BN,government
432,222959311062238,Metropolitan Development and Housing Agency,government
433,101092033299680,Allianz France,company
434,291356520875233,Common Law,tvshow
435,1736092590015714,Daniela Kluckert,politician
436,60190688483,"U.S. Environmental Protection Agency--Region 2 (NJ, NY, PR, USVI)",government
437,185899758126310,Lidl Romania,company
438,547447862002921,Tancredi Turco,politician
439,132510385387,Visit Brasil,company
440,363269177016530,Kula Segaran,politician
441,210764367087,在台灣的故事,tvshow
442,518861108151536,Klaus Wolframm,politician
443,361825830503669,Priscila Krause,politician
444,1542844622636278,Mayor Matt Burnett,politician
445,410437495817471,Manfred Weber,politician
446,483119175042310,Decameron Perú,company
447,173517072696584,George P. Bush,politician
448,1457854404494601,Hervé Gaymard,politician
449,243077088528,Espai Internet TV3,tvshow
450,221990947980564,Myrtle Manor Becky,tvshow
451,104667776288021,BBC Apprentice,tvshow
452,169383494938,BBC EastEnders,tvshow
453,10453255451,Henry McMaster,politician
454,136146939741471,TheHut.com,company
455,199383346775333,Dunelm,company
456,336333819807014,פנינה תמנו- שטה,politician
457,151092200743,James Lankford,politician
458,468441436684509,Smart Dubai,government
459,385828341548336,Amber Rudd MP,politician
460,377875712247089,Thomas Kastrup-Larsen,politician
461,181497299166,Polydor,company
462,330101277066557,Moments With Mandi Welbaum,company
463,116106135078207,EL AL Israel Airlines USA,company
464,112567882220866,CARD.com,company
465,286243574777156,TUC,company
466,448309798634823,Senator Gabrielle McFadden,politician
467,160331670685001,Samsung Österreich,company
468,162159877162316,Bhagwant Mann,politician
469,19437978960,Chris Murphy,politician
470,388090517914968,Anne McTaggart for Glasgow,politician
471,93624730972,TornadoVideos.net,company
472,97436894557,Dell,company
473,285843661522272,Castello,company
474,184244914947427,Meteocat. Generalitat de Catalunya.,government
475,230408830453098,Burger King France,company
476,116022908518631,Justyne Caruana,politician
477,187248587965806,Nutella,company
478,1497254630524271,Préfet de la Saône-et-Loire,government
479,127980693947760,Senadora Lúcia Vânia,politician
480,124468237623419,Veganz,company
481,273795515772,KLM Royal Dutch Airlines,company
482,312215209342,BBC Eurovision,tvshow
483,195090220516735,Can-Am Off-Road,company
484,112558978762116,Franco Sarto,company
485,2167628580128133,ირაკლი კობახიძე / Irakli Kobakhidze,politician
486,296374063793548,Gobierno Electrónico Perú - ONGEI,government
487,104478386292110,ABB,company
488,381608425227664,Andre,politician
489,142724365878673,Bridgestone,company
490,225863677445523,Bath VA Medical Center,government
491,326547101058452,Reinhard Brandl,politician
492,1586251881644270,Keir Starmer,politician
493,133244940060056,Life in the Lofthouse,company
494,299147070277017,Michael Müller,politician
495,103659786339744,Sydney Weekender,tvshow
496,59420116388,National Park Service,government
497,335354637212,MomentFeed,company
498,144563897770,Children and Clinical Studies Campaign,government
499,162013644203,Come Dine With Me,tvshow
500,210335135696302,HEMA,company
501,211243165615538,Penrith LAC - NSW Police Force,government
502,389665107805619,Michael Aastrup Jensen,politician
503,1452182611690932,Madwire,company
504,204771929533342,Kementerian Kemajuan Luar Bandar dan Wilayah,government
505,241359762621878,Attorney-General's Department Graduate Program,government
506,448991148574135,Freshly,company
507,110475388978628,The Walking Dead,tvshow
508,75655742917,Northern Ireland Assembly,government
509,86223357391,KLM Italia,company
510,1466035070293582,Alex Hawke MP,politician
511,128466880497110,Danuta Jazłowiecka,politician
512,183769448318423,Fútbol Picante,tvshow
513,108381603303,HERSHEY'S,company
514,146253315442153,US National Weather Service North Platte Nebraska,government
515,568027523319274,Dame Caroline Spelman MP,politician
516,54000790439,Great American Cookies,company
517,107299956000237,National Credit Union Administration,government
518,86704161022,Klaus Ernst,politician
519,289079035382,SM Appliance Center,company
520,131676374522,AnadoluJet,company
521,131250783739,DanoneCareers,company
522,479130188842492,União Europeia na Guiné-Bissau,government
523,182554285114879,Shafi Parambil,politician
524,396307897124355,USS Gerald R. Ford - CVN 78,government
525,100230390023684,Maryland Technology Assistance Program,government
526,412490915578113,Fugueuse,tvshow
527,127567737259528,Barbara L'Italien,politician
528,222765385226,Dr. Sascha Raabe,politician
529,100669730063886,RuPaul's Drag Race All Stars,tvshow
530,196473247039747,"Charlie Company, 3rd Battalion, 10th Infantry Regiment",government
531,108929519124740,Niumba,company
532,1435674296649243,Emmanuelle Cosse,politician
533,59480081949,Oikos Greek Yogurt,company
534,245363105596963,Israel Patent Office רשות הפטנטים,government
535,123316887684644,Marine Le Pen,politician
536,143767552329253,Israel en Ecuador,government
537,513282775385642,Educación Municba,government
538,73676817966,Danny O'Donnell,politician
539,158848386614,General Motors México,company
540,241832895841847,TGI Fridays Frozen Snacks,company
541,641842819171898,Akhilesh Yadav,politician
542,824740377593403,Oliver Dowden,politician
543,291524437542463,נחמן שי - Nachman Shai,politician
544,1606651289601603,National Film Archive of India,government
545,154769827890758,I Love Lucy,tvshow
546,1572863999608405,NSW SES Barraba Unit,government
547,145733658805847,Gap,company
548,369244243546,Kementerian Kewangan Malaysia,government
549,253241831523931,Емил Димитриев,politician
550,128963690507194,Le Meilleur du Hier,tvshow
551,320245531412063,Embassy of Denmark in Serbia,government
552,115487945197152,Janine Freeman,politician
553,155001591234832,Silke Gebel,politician
554,10128918116,Gavin Newsom,politician
555,178858105636453,Mitchell,company
556,852770481440368,Leif Mikkelsen,politician
557,128401833854581,Nagy József,politician
558,132498593482361,Acces Direct,tvshow
559,186346874865275,Ministerio de Agricultura y Riego del Perú,government
560,121679347910269,US National Weather Service Des Moines Iowa,government
561,265320196867710,Specsavers Optikko,company
562,97640646271,Steven MacKinnon,politician
563,354582784551872,JustFab,company
564,677465509070469,Herbert Mertin,politician
565,1030085483693704,Kementerian Perindustrian RI,government
566,302939779892879,Activia,company
567,78118717073,Air Force Space Command,government
568,127428534470290,The Orville,tvshow
569,1958757694264942,KAYAK,company
570,843812142384790,Embassy of Belgium in Vietnam,government
571,933561246680727,Ambasada României în Republica Cehă,government
572,140386962704024,Governo de Pernambuco,government
573,613261812061807,The Graham Norton Show BBC America,tvshow
574,96546260636,Internet Week New York,company
575,360795670176,Clémentine Autain,politician
576,163557541539,The Russell Howard Hour,tvshow
577,1419354464978596,Giovanni Toti,politician
578,199610690111142,Visitar Israel,government
579,55933404846,PosteMobile,company
580,489536651069106,House of Cards,tvshow
581,365088703514291,Dario Parrini,politician
582,101341336622558,"House Committee on Science, Space, and Technology",government
583,269475816560244,Markus Paschke,politician
584,145143367357,MasterChef TVNZ 1,tvshow
585,172068079470271,Израиль в Узбекистане - Israel in Uzbekistan,government
586,1491609724389056,Embassy of Switzerland in the Philippines,government
587,1520573734848193,Deichmann Bosna i Hercegovina,company
588,130727956973250,Anna Krupka,politician
589,756473267816137,Niky Cantard,politician
590,13614384845,Verizon Careers,company
591,270456363157200,Polizei Sachsen,government
592,246436435527378,Virginia Department of Health,government
593,318814151575251,Filippo Gallinella,politician
594,291482090931929,Professora Dorinha,politician
595,186303478171356,Embassy of Belgium in Norway and Iceland,government
596,341985855200,Standard Chartered UAE,company
597,126453380744933,Wilfred,tvshow
598,385524381526993,Superpop,tvshow
599,170945532921576,Louis Nielsen,company
600,475865579194090,Marcus Held,politician
601,391477497562861,Danilo Forte,politician
602,291297097615087,Jumia,company
603,8605796091,Diet Coke,company
604,165412256810749,한국안의 이스라엘,government
605,104443426309892,IDBI BANK,company
606,776784779020038,Kelvin Davis,politician
607,256154354583303,Jet,company
608,181139475269385,Don't Trust the B in Apt 23,tvshow
609,491007197579019,Carlos Brandão,politician
610,265045206959890,L'Oréal Talent,company
611,1237829402953491,Государственная Дума,government
612,262302123951896,Riftworld,tvshow
613,310175149000473,European Parliament in the UK,government
614,152024974863322,Memphis District Corps of Engineers,government
615,81452861215,Journeys,company
616,625827774138145,Juan Fernández SN,politician
617,1022409794455334,Martin Docherty-Hughes MP,politician
618,155490497922858,PicPay,company
619,14814041735,Henri Guaino,politician
620,162496613779244,Chillicothe VA Medical Center,government
621,56158390063,Phil Berger,politician
622,175739635505,Maryland Department of Public Safety and Correctional Services,government
623,156602864371510,Biblioteca de São Paulo | BSP,government
624,265313250248504,North Dakota Highway Patrol,government
625,96840582969,Surf City Squeeze,company
626,120659348096826,Consulado General del Perú en Ginebra,government
627,99129427775,Arlington County Virginia – Government,government
628,1393245584230208,Coca-Cola España,company
629,18446092097,D99,company
630,260012884055691,Metropolitan Police Service,government
631,1456571404584774,Bernie Finn MP,politician
632,1559421730752327,Boris Pistorius,politician
633,733847726720843,Agora Nós - RTP,tvshow
634,173400592680781,Telmex,company
635,202313659778897,Sill CYSS Teen,government
636,365768953497428,Isuzu Utes New Zealand Ltd,company
637,503198836393814,O Mundo Segundo os Brasileiros,tvshow
638,1593145090967383,HMRC,government
639,205370176309085,蘇浩 Anthony So,politician
640,118465974896482,Banco Falabella Perú,company
641,107242588004,Good Day Sacramento,tvshow
642,336954806458001,Two Nation Vacation,company
643,194123260626794,Pierfrancesco Majorino,politician
644,364857373558635,Linio,company
645,10795878252,Leung Kwok Hung,politician
646,259459370846061,American Express,company
647,302901263140722,Vanessa Grazziotin,politician
648,116742961694579,EAS Sports Nutrition,company
649,212496562128762,The Jello Mold Mistress of Brooklyn,company
650,203730762991483,Comcast Spotlight,company
651,241673509341052,Alexis Tsipras Intl,politician
652,122474347825021,SAT.1 Frühstücksfernsehen,tvshow
