id,name,ml_target
97,pmn,0
98,aviflax,0
99,paulgureghian,1
100,Silic0nS0ldier,0
101,mingkin,1
102,ferschke,1
103,git-kale,1
104,helexy22,1
105,rioastamal,0
106,jvperrin,0
107,iblancasa,0
108,HYPJUDY,1
109,ellenmellon,1
110,qingbusheng,0
111,luizjr,0
112,pikanglong,0
113,JohnMars,0
114,maurodelazeri,0
115,sharpstill,1
116,myedibleenso,0
117,neelkirit,1
118,jicjjang,0
119,denysdovhan,0
120,nrkfeller,1
121,thiennn,0
122,paulhuisman,0
123,quraisahamid,0
124,gsw945,0
125,Deardrops,0
126,Rajat2712,1
127,adichad,1
128,stephanedenis,0
129,thrifus,0
130,francisfsjiang,1
131,razbakov,0
132,sawyes,0
133,h3nnn4n,1
134,nevir,0
135,moeinrahimi,0
136,forhadulislam,0
137,neu-rah,0
138,iriswang1,1
139,Marthyn,0
140,flavorjones,0
141,davidyell,0
142,adityaas26,0
143,rafaelcamaram,0
144,smamran,0
145,anayini,1
146,hunkyu,1
147,chaodaqing,0
148,elPandaFriki,0
149,stefanhendriks,0
150,BoyWithSilverWings,0
151,samehkamaleldin,0
152,GuanlinLee,1
153,kangshaoshun,1
154,fuse-mars,0
155,dimgold,1
156,AndreiRailean,0
157,dongrenguang,0
158,LiXiuhong,1
159,minrk,0
160,sureshsarda,0
161,mahdiabdolmaleki,0
162,alethea,0
163,banixc,0
164,besquared,0
165,BlackDante,0
166,mohanarunachalam,1
167,crosstreet74,0
168,LeonardoCardoso,0
169,ascode,0
170,jakobsandberg,1
171,asinbow,0
172,aarzchan,1
173,anilkunwar,1
174,bushidocodes,0
175,davegomez,0
176,SecureCloud-biz,0
177,ibnujakaria,0
178,Joe8Bit,0
179,frankodoom,0
180,lxchavez,0
181,sjwilliams,0
182,YunzhuLi,1
183,chenlongqiang,0
184,surunzi,0
185,poudel,0
186,Daaaaad,0
187,boxabirds,1
188,Graphettion,0
189,szenekonzept,0
190,nicolsc,0
191,Kingson4Wu,0
192,iamKael,0
193,findingsea,0
194,redaxmedia,0
195,r3dcrosse,0
196,amoose136,1
197,osmangoninahid,0
198,eparejatobes,0
199,craigrshenton,1
200,thierrymichel,0
201,dikyarga,0
202,saeedtabrizi,0
203,mikaelkaron,0
204,Solicite,0
205,F36,1
206,chenxuhao,1
207,HiDAl,0
208,kasiditi,0
209,thisismydesign,1
210,summerwang0915,0
211,lupengkai,0
212,jiangxtx,0
213,hanyeliu,1
214,lijiannuist,1
215,AghilesAzzoug,1
216,karel-3d,0
217,SeanJia,1
218,ilija139,1
219,ahmedalaahagag,0
220,chenxy99,1
221,Cristian006,0
222,dedevillela,0
223,NoahOrberg,0
224,panda020111,0
225,caddyliu,0
226,rdspring1,1
227,itsJASPERr,0
228,Drunkar,0
229,rousseauo,0
230,rqbazan,0
231,iamnapo,0
232,cowlicks,1
233,ed-george,0
234,tessavdheiden,1
235,juliotorresmoreno,0
236,mfilej,0
237,MilindaLaknath,1
238,antonov,0
239,hjanime,1
240,meyskens,0
241,lazarofl,0
242,lmm0591,0
243,mattdennewitz,0
244,Gdewilde,0
245,ZhengshengWei,1
246,petitspois,0
247,lymhust,1
248,suliang,0
249,MeteALANLI,0
250,olohmann,0
251,McKenzieJDan,0
252,mar-bi,0
253,kaochenlong,0
254,herbat73,0
255,ihorzenich,0
256,jlilja,0
257,gon250,0
258,loic-sharma,0
259,GTmac,1
260,apetresc,1
261,nicktoumpelis,0
262,dweekly,1
263,brandon-beacher,0
264,luismendozamx,0
265,jumbosushi,0
266,anilozmen,0
267,prashanthbasani,1
268,rodionovp,1
269,naupaka,0
270,not-for-me,0
271,jmgirard,1
272,ecrider,0
273,ding-hai,1
274,rkyymmt,0
275,guillaumerose,0
276,nevernet,0
277,priyatam,0
278,ganesharulanantham,0
279,justein,1
280,eoinsha,0
281,skyhitblog,0
282,ashish1500616,1
283,alberto-hortelano,0
284,felipesabino,0
285,saifeiLee,0
286,Guzpenha,1
287,a-dabrowski,0
288,AotY,0
289,scanfyu,1
290,thunderrun,0
291,splorp,0
292,actionsmile,0
293,johngriffin,1
294,felixhorro,0
295,larc000,0
296,arashm,0
297,regalius,1
298,akatrevorjay,0
299,aglupotto,1
300,levindoneto,0
301,milesgranger,0
302,AlixChiong,0
303,KinglittleQ,1
304,asanka94,0
305,cakecatz,0
306,stringariSM,0
307,liuganggang,0
308,kinvix,0
309,MarkBennett,0
310,mafairnet,0
311,davequick,0
312,carolove,1
313,Roma36,0
314,jordanpapaleo,0
315,soutik,1
316,dmente03,0
317,stevenlr,0
318,ebertti,0
319,lsd,0
320,miho,0
321,javiercejudo,0
322,seik,0
323,romanslonov,0
324,Liweimin0512,0
325,Jyothsnasrinivas,1
326,boneskull,0
327,artisonian,0
328,jkusachi,0
329,RodrigoCS,0
330,kgaut,0
331,MrShininnnnn,1
332,TrueMoein,0
333,aoberoi,0
334,JacobOscarson,0
335,cwilgenhoff,0
336,keilw,0
337,JuIioCesar,1
338,bukosabino,1
339,jack4it,0
340,FrontMage,0
341,arrygoo,0
342,mattwoodnyc,0
343,emmericp,0
344,Torreshan,1
345,penberg,0
346,hallahan,0
347,gravataLonga,0
348,SabraAS,0
349,alvimm,0
350,Kirschn,0
351,joelseq,0
352,leonardothibes,0
353,adesege,0
354,bikingbadger,0
355,hackerxiaobai,1
356,romariolopezc,0
357,gberger,0
358,leifmadsen,0
359,mapninja,1
360,jgw96,0
361,Tomotoes,0
362,aalises,0
363,imcco,0
364,keepfit,0
365,Perfect-Web,0
366,Polkas,1
367,alexandersvozil,1
368,Arthraim,0
369,nmadapan,1
370,rheech,1
371,chosenvictim,0
372,chrisgillis,0
373,WhoIsJack,1
374,latelee,1
375,Jaekr,1
376,novemberde,0
377,lyzzard,0
378,JasonEtco,0
379,paincompiler,1
380,ThomasLarge,0
381,ivosequeros,1
382,samsonchen1989,0
383,Separius,1
384,cnjsstong,0
385,benschaaf,0
386,baishali-ghosh,0
387,markui,0
388,AbdallahMezo,0
389,skrosoft,0
390,humblem2,1
391,mattcontet,0
392,qyz777,1
393,guilleiguaran,0
394,kripaz777,1
395,sturmenta,0
396,jensjns,0
397,syy,0
398,chufanwu,1
399,kyohei8,0
400,28,1
401,MrGemy95,1
402,anggagewor,0
403,maggit,0
404,mateuszszklarek,0
405,angadn,0
406,reyuwei,1
407,rodnylobos,0
408,Neras,0
409,sourishkrout,0
410,ZhaoZeyu1995,1
411,SmartDoubleXiao,0
412,cheh,0
413,paulsmith,0
414,DrDarbin,1
415,SchabrechtsK,0
416,92bondstreet,0
417,animesh-chouhan,1
418,reemardelarosa,0
419,mishrarohit,0
420,QhelDIV,1
421,iskandr,1
422,Sublio,0
423,hongyanh,0
424,Jywud,0
425,montyanderson,0
426,glacials,0
427,PursueHappinessDirectly,1
428,nim4n136,0
429,Fuhongshuai,1
430,cjf00000,1
431,PrinceChou,1
432,jaggy,0
433,jarek-przygodzki,0
434,deepakrana47,1
435,dcanones,1
436,mxl,0
437,ramsaylanier,0
438,TAmbition,1
439,oknoorap,0
440,igeligel,0
441,MarshalLeeeeee,1
442,dridk,1
443,ryanrushing,0
444,SaqibHussain44,0
445,marcoacierno,0
446,sandy183,0
447,fernandomoraes,0
448,sonfordson,0
449,nobillowseagit,0
450,shaddygarg,1
451,SummerRC,0
452,daviddias,0
453,MarkPolivchuk,0
454,gathuku,0
455,ekospinach,0
456,perjerz3434,0
457,olarclara,0
458,guiguan,0
459,suchov,0
460,clintonyeb,0
461,amelnychuck,1
462,modernmedici,1
463,Harshit369,0
464,4v3r9,1
465,Vallista,0
466,mevinbabuc,0
467,lukedeo,1
468,SUTFutureCoder,0
469,luangjokaj,0
470,MohammadShawon,0
471,octopitus,0
472,davidalvarezdlt,1
473,leilaapsilva,1
474,liqisa,1
475,llvieira,1
476,Lanselott,1
477,Caryyon,0
478,Tuccuay,1
479,cjuexuan,0
480,erdun,0
481,kkoscielniak,0
482,alwaysandeep,1
483,Fibonacci43,1
484,adriantodorov,0
485,Midnoclose,0
486,lytkarinskiy,1
487,naftulikay,1
488,Rock610,1
489,TamerShlash,0
490,llissery,0
491,garrett-eclipse,0
492,debMan,1
493,BeshoyHindy,0
494,chokcoco,0
495,scottksmith95,0
496,nik-garmash,0
497,rewinfrey,0
498,jbpros,0
499,rchaser53,0
500,HenriBeck,0
501,cupnoodle,0
502,iwanao731,1
503,HolenYHR,1
504,rufengch,0
505,pskun,1
506,shashankg7,1
507,okeeffed,0
508,angelbotto,0
509,aemidesign,0
510,BiggaHD,0
511,olofd,0
512,DEDZTBH,0
513,shidalin,0
514,olagato,0
515,bartek,0
516,mo3rfan,0
517,numan947,1
518,kevin-zqw,0
519,apengwin,1
520,schaechinger,0
521,sbarman-mi9,1
522,mikedfunk,0
523,ArgishtiAvetis,0
524,melitus,0
525,skydaddy,0
526,manerfan,0
527,joegichuru,0
528,tiennan,0
529,ahsanatha,1
530,chintan39,0
531,ahmed-hamdy90,0
532,daicoolb,0
533,Kev8144,0
534,christofs,1
535,didikz,0
536,FangYang970206,1
537,mrfrkayvaz,0
538,ACERY1,0
539,moghya,0
540,olderzhou,0
541,naokazuterada,0
542,jhewt,0
543,kyzhouhzau,1
544,one1zero1one,1
545,jmlavoier,0
546,Miantang,0
547,JaySon-Huang,1
548,CoderMageFox,0
549,kylemh,0
550,lfuelling,0
551,nacika-ins,0
552,ryanrhymes,1
553,drewm,0
554,Rustic-Z,0
555,jizusun,0
556,anushkmittal,1
557,pauldix,0
558,mojo2012,0
559,parthibann,0
560,mjhendrickson,1
561,Koprvhdix,1
562,bin-page,0
563,emilyb7,0
564,jack0888,0
565,karthikBalasubramanian,1
566,luckio41,0
567,avogel3,0
568,robertmaxrees,0
569,phbraga,1
570,Cypher1,0
571,floringogianu,1
572,maxliu,1
573,AakashRaina,0
574,Gideonking,0
575,ingee,0
576,renanmorais,0
577,jpdevries,0
578,ctsuu,1
579,thuansb,0
580,odesenvolvedor,0
581,happyjudy,0
582,aageboi,0
583,SuperChenSSS,1
584,leifg,0
585,lsantana486,0
586,LordK1,0
587,lmadhuranga,0
588,tegg89,1
589,Odaeus,0
590,kwarodom,0
591,ndxbn,0
592,nouh,0
593,AndrewRadev,0
594,DayThink,0
595,analistacarlosh,0
596,arendondiosa,0
597,nicolascbarbosa,0
598,Neo-Zhixing,0
599,marcoeh,0
600,christabella,0
601,Abmiester,1
602,omerg,0
603,alsemyonov,0
604,aixasz,0
605,markoradak,0
606,redrick,0
607,gizmosachin,1
608,legendtkl,1
609,garora,0
610,kernelp4nic,0
611,manondidi,0
612,luizeof,0
613,Amadeeus,1
614,hades217,0
615,EmptyChan,1
616,scarletmu,0
617,enrike1983,0
618,billyma128,0
619,pedrogryzinsky,0
620,kosilence,0
621,jeftom,0
622,CracKerMe,0
623,adrien2p,0
624,smokja,1
625,aidiss,0
626,egeste,0
627,sfc9982,1
628,berkerol,1
629,AmilKey,0
630,goodev,0
631,okaychen,0
632,oNguyenVanThieu,1
633,mavriciomart,0
634,kbzone,0
635,tetratorus,0
636,kristoffzoghbi,1
637,progamer,0
638,GuiDB,1
639,tiangolo,0
640,nilabhohol,1
641,thealphadollar,1
642,jd-alexander,0
643,shuxiaobo,1
644,theill,0
645,DanPurdy,0
646,bwreilly,0
647,ephread,0
648,shime,0
649,LikaiLee,0
650,konekoya,0
651,khaldi-yass,0
652,rozsival,0
653,TonyGorez,0
654,TheNoim,0
655,ipcreator,1
656,remingtonc,0
657,krzysztof-raciniewski,0
658,fengshenhai-0727,0
659,3van,0
660,Kapulara,0
661,marceloserpa,0
662,bartvanderwal,0
663,eter5,0
664,Anirudhsekar96,1
665,sdiwash,1
666,bitwater,0
667,asiagood,1
668,Atrac613,0
669,kdbeer,0
670,shadefly,0
671,scaytrase,0
672,louisun,0
673,kunmei,1
674,GengDavid,1
675,thegumza,0
676,ajaymenon0,0
677,AaronLeeeee,0
678,julianobailao,0
679,Jon-Millent,0
680,IObert,0
681,keldenddorji1997,1
682,outkine,0
683,BCasaleiro,1
684,Scott1123,1
685,kvnol,0
686,Sumegh-git,1
687,ZhiWenMo,1
688,ThalesLudwig,0
689,andriyun,0
690,thakkarparth007,0
691,ajduke,0
692,KvanTTT,1
693,bootjp,1
694,codertimo,1
695,kiwiupover,0
696,WangLaoK,1
697,entendu,0
698,mach1media,0
699,kirkegaard,0
700,Comi9,0
701,seninp,1
702,albertoleal,0
703,CrazyRundong,0
704,evrial,0
705,Wentaobi,1
706,bhargavvader,1
707,mcmillion,0
708,drewroberts,0
709,jchris,0
710,numanyilmaz,1
711,Velliz,0
712,jsalbert,1
713,Microhx,1
714,flyfy1,0
715,jlpjavi,0
716,danoc,0
717,bachue,0
718,jritten,0
719,leogoncalves,0
720,evallesv,0
721,ramilzakirov,0
722,Stayer,0
723,Arkoprabho,1
724,linmiss,0
725,jbinfo,0
726,russelg,0
727,layerssss,0
728,askari01,0
729,harryfei,0
730,rlishtaba,0
731,animesh,1
732,MacRusher,0
733,ClimbsRocks,0
734,guilhem,0
735,qiugang,0
736,liuyib,0
737,android-sos,0
738,bgriffith,0
739,djyadav,0
740,konklone,0
741,robert-wallis,0
742,panphora,0
743,alphazhao,1
744,luankevinferreira,0
745,lan-qing,1
746,lunaticmonk,0
747,berkanuslu,1
748,liyin2015,1
749,Akinropo,1
750,jhia,0
751,fed135,0
752,IKKIson,1
753,poke19962008,0
754,kenelite,1
755,sktguha,0
756,Liklei,0
757,pgangwani,0
758,kopepasah,0
759,juliarozanova,1
760,hualin95,1
761,bobmoff,0
762,pb1672,1
763,aleub,0
764,scarletcho,1
765,jmonteiro,0
766,EdwardMCastrillon,0
767,ayushgupt,1
768,fega,0
769,diegozea,1
770,infil00p,0
771,ValCapri,0
772,meolu,1
773,KagamiChan,0
774,kunpengyao,1
775,bbenetskyy,0
776,omridevk,0
777,ruhulwebdev,0
778,adamroszyk,1
779,bilevg,1
780,tiagofontella,0
781,niksumeiko,0
782,bboulesteix,0
783,lcl22hope,0
784,Tommos0,1
785,jokapoa,0
786,isakrubin,0
787,sivsivsree,0
788,duchao0726,1
789,gomesfellipe,1
790,onmotion,0
791,timkaye11,1
792,fluentart,0
793,alkurbatov,0
794,msglight4874,0
795,stevenup,0
796,lufutu,1
797,microsud,1
798,batazor,0
799,alimranahmed,0
800,WinstonMarvel,0
801,kelvinst,0
802,SaikumarChintada,0
803,cfree,0
804,kris-singh,1
805,rahulrana95,0
806,eleijonmarck,1
807,Mohitsharma44,1
808,terell,0
809,lxcsjk,0
810,guni1192,0
811,neoashraf,0
812,beyond2013,1
813,eleyeth,1
814,bneiluj,0
815,brucelau-github,1
816,labirin,0
817,Yassir4,0
818,makaidong,1
819,peyao,0
820,austinejei,0
821,shontauro,0
822,AllenMinD,0
823,rakuishi,0
824,jinyu121,0
825,WasserEsser,0
826,bing107,0
827,earome,0
828,hainuo,0
829,rickli1989,0
830,ivankravchenko,0
831,gregwhitaker,0
832,jpumford,0
833,pwaldhauer,0
834,dacaishichang,1
835,Neymarrrha,0
836,bsvercl,0
837,sky-admin,0
838,KaitoHH,1
839,GSThina,1
840,aengl,0
841,josephspens,0
842,PikaboyZ,0
843,rubengees,0
844,sumanabasu,1
845,MQQM,1
846,ncb000gt,0
847,tanghaodong25,1
848,popomore,0
849,chavenor,0
850,demeiyan,1
851,somal,1
852,abiosoft,1
853,HuMingqi,1
854,irom-io,0
855,BlinfoldKing,0
856,adityapurwa,0
857,brycemcwilliams,0
858,pprmint,0
859,caiwenpu,1
860,octonion,1
861,brianmcmichael,0
862,anazard,0
863,duongkstn,1
864,cavaunpeu,1
865,0xHJK,1
866,ameghbhavsar,1
867,abcdw,0
868,o100ja,0
869,atlantiswqq,1
870,chiefGui,0
871,fanux,0
872,Michael2Tang,1
873,scottjiao,1
874,kprocks86,0
875,huyderman,0
876,thisiswhereitype,1
877,clayne11,0
878,Mechtecs,0
879,brunapinos,1
880,MyTheValentinus,0
881,steinybot,0
882,crankler,1
883,hideakitai,0
884,PonomareVlad,0
885,codjust,0
886,ajandorek,0
887,clom,0
888,qqfly,1
889,timjb,0
890,harshitjindal,1
891,Subhraj07,1
892,sopaco,0
893,antonybudianto,0
894,bpierre,0
895,gbolmier,1
896,jakerobers,0
897,SimplyCodin,0
898,felixgirault,0
899,Ian-Morris,0
900,lianruhe,0
901,sorskoot,0
902,ifndefdeadmau5,0
903,codyi96,1
904,shuaibird,0
905,libhide,0
906,pmjhonwang,0
907,casablanca9607,1
908,lucastrvsn,0
909,cynricfu,1
910,holdenk,1
911,richardkmiller,0
912,emersonjds,0
913,rmhall,0
914,georgiee,0
915,angvp,0
916,chatkausik,1
917,tford9,1
918,devpaul,0
919,ShanakaWickramaarachchi,0
920,srl295,0
921,geyixin,1
922,macdavid313,0
923,ortizvinicius,0
924,anfield343,0
925,dylans,0
926,IncognitoJam,0
927,NaveenEzio,1
928,Mariobai,1
929,pjedrzejewski,0
930,sunghun7511,1
931,chriman,0
932,9034725985,0
933,geekyd,0
934,EleanorMao,0
935,keystroke99,0
936,MauriceConrad,0
937,harryprince,0
938,ptak82,1
939,ankitbit,1
940,pat-s,0
941,fergyfresh,1
942,evaldofelipe,0
943,daviddang91,0
944,kornhammer,0
945,mi-1-0-0,1
946,jfson,0
947,iriskatastik,0
948,Oliveralr,0
949,gillesbertaux,0
950,HeshamHaleem,1
951,DiogenesPolanco,0
952,5pilow,0
953,furkanonder,1
954,andykingking,0
955,muvanpersie,1
956,Jhy1993,1
957,koala59230,0
958,nicolasloubet,0
959,ishehata,0
960,TwistedW,1
961,prashant0598,1
962,JackR21,0
963,catarak,0
964,rogerz,0
965,loveincode,1
966,DalerAsrorov,0
967,isudox,0
968,drawrs,0
969,solkiim,1
970,LEE-SEON-WOO,1
971,tidusjar,0
972,pfan123,0
973,gonsie,0
974,bevacqua,0
975,icalik,0
976,beeankha,1
977,Zephery,1
978,SarathTharayil,1
979,taliove,0
980,pent1162,1
981,aeron11,0
982,SimZor,0
983,NicolasPetton,0
984,sagaryonjan,0
985,JordanCoin,0
986,mmphego,1
987,GitaiQAQ,0
988,pianopia,0
989,novocaine,1
990,KimHunJin,1
991,srikantvadrevu,1
992,elbismanuel,0
993,PaulBGD,0
994,mathieuboudreau,1
995,dacre-denny,0
996,alekseysotnikov,0
997,tareiking,0
998,AustinCasteel,1
999,theZieger,0
1000,andrewmmc,0
1001,ArmCM,0
1002,mattmezza,0
1003,h4cc,0
1004,MrAbalogu,0
1005,kjzhang9,1
1006,m2sh,0
1007,robocoderhan,1
1008,namevalues,0
1009,mertcanaltin,0
1010,maria,0
1011,altras,0
1012,AlvinLicuntao,0
1013,hellomrma,0
1014,chriskrycho,0
1015,survivingME,1
1016,byjord,0
1017,DataXujing,1
1018,jjwdesign,0
1019,Quantum-Sicarius,0
1020,gmcgibbon,0
1021,adrianmg,0
1022,pcuci,0
1023,rschiang,0
1024,fancyecommerce,0
1025,rptec,0
1026,tareqanwar,0
1027,excerebrose,1
1028,alan345,0
1029,AK-ayush,1
1030,nekocode,0
1031,Jakiboy,0
1032,manrajgrover,0
1033,fulvaz,0
1034,nonumber1989,0
1035,iamzhanghao,1
1036,geraltofrivia,1
1037,gitchenze,0
1038,MontealegreLuis,0
1039,metmajer,0
1040,blackshady,0
1041,bretcope,0
1042,jwaldrip,0
1043,heroheman,0
1044,DuanTzXavier,0
1045,kakchan,0
1046,akuchotrani,1
1047,shuchengliang,0
1048,tawanjairew,1
1049,kaloraat,0
1050,solyarisoftware,0
1051,07Gond,0
1052,ancadumitrache,1
1053,ktaebum,1
1054,JunsikChoi,1
1055,MsFaceless,1
1056,mbed92,1
1057,dennycd,0
1058,capasky,0
1059,EmmaSRH,1
1060,dvershinin,0
1061,SixPlusZero,1
1062,joeleisner,0
1063,techstep,0
1064,chaihahaha,0
1065,mware,0
1066,stevekeol,0
1067,dantangfan,0
1068,aadityatamrakar,0
1069,farouqzaib,1
1070,mojosoeun,0
1071,Helg18,0
1072,ambling,0
1073,martint028,0
1074,forest1988,1
1075,rdohms,0
1076,katzefudder,0
1077,lukeholder,0
1078,marquesm91,0
1079,BBischof,1
1080,jxwufan,1
1081,pierreericgarcia,0
1082,linkTDP,0
1083,tduarte,0
1084,lmk123,0
1085,devfelipemonteiro,0
1086,loulai,1
1087,awmichel,0
1088,sravimohan,0
1089,iam-peekay,1
1090,matriphe,0
1091,crasslandWolf,0
1092,srinivasreddy,0
1093,IndexXuan,0
1094,alejandrodebus,1
1095,ahmadawais,0
1096,Lutece,0
1097,kobkrit,0
1098,bantayso,0
1099,kapitanluffy,0
1100,Yangerle,0
1101,srikant,0
1102,srike27,1
1103,JounQin,0
1104,Dvisacker,0
1105,IncredibleQuark,0
1106,Rithie,0
1107,pengyangwu,1
1108,ArGJolan,0
1109,kesarawimal,0
1110,meandmytram,1
1111,nuxzero,0
1112,Vector-SMG,0
1113,thorsteinsson,0
1114,Ehesp,0
1115,leonekmi,0
1116,kad3nce,0
1117,ognis1205,1
1118,jackieli123723,0
1119,crossjs,0
1120,ckeyer,0
1121,exarus,0
1122,muneef,0
1123,pavelkomiagin,0
1124,julianjca,0
1125,Kornil,0
1126,PotHix,0
1127,b-ggs,0
1128,chenwenyan,1
1129,Rowno,0
1130,Fil,0
1131,djstein,0
1132,hfm,0
1133,killxin,1
1134,robertholf,0
1135,leemove,0
1136,nikhedonia,0
1137,TheRusskiy,0
1138,textarcana,0
1139,acdart,1
1140,jmercha,0
1141,igorjosesantos,0
1142,kelvinlwy,1
1143,Riloto8,0
1144,jeremyrajan,0
1145,goodwinfame,0
1146,eniuz,0
1147,lifeiteng,1
1148,koploop,1
1149,newset,0
1150,nawazkhan,0
1151,babolivier,0
1152,south37,0
1153,alokasok,1
1154,airalcorn2,1
1155,eirikurn,0
1156,tabooc,0
1157,mohammadhb,0
1158,LukaszWatroba,0
1159,caistrong,0
1160,Prabhat-IIT,1
1161,srijiths,1
1162,alex44jzy,0
1163,maxis42,1
1164,barretlee,0
1165,SenorSamuel,0
1166,anirudhsom,1
1167,Hicham95,0
1168,HongminWu,1
1169,padila50,1
1170,hetmann,0
1171,iconpin,0
1172,bilashcse,0
1173,lxe,0
1174,kasungihan,0
1175,JavaProgrammerLB,0
1176,nick1201,1
1177,qingyezeng,1
1178,mauricio-msp,0
1179,ibrahimmumcu,0
1180,ShukujiNeel13,1
1181,mdavid,0
1182,lijunle,0
1183,luishipero,0
1184,Tehada,1
1185,James-N-M,0
1186,anhldbk,0
1187,akash-bisariya,0
1188,andrenarchy,0
1189,kieran-bamforth,0
1190,naazy,0
1191,matscode,0
1192,ruooooooli,0
1193,shkorinova,1
1194,krazyjakee,0
1195,notarseniy,0
1196,greatdinosaur,0
1197,NoddyLiu,1
1198,frankstar007,1
1199,scottdarby,0
1200,elsangedy,0
1201,mathiasconradt,0
1202,aizaoqi,0
1203,kdpisda,0
1204,null-none,0
1205,amitkumarj441,0
1206,netxfly,0
1207,cooerson,0
1208,ji-a-kang,1
1209,HermannBjorgvin,0
1210,mzcolor001,1
1211,jsf9k,0
1212,cubicdaiya,0
1213,hahnzhu,0
1214,daniel-mueller,0
1215,lipengyuan1994,1
1216,mikeaxle,0
1217,lauthieb,0
1218,luiscordero29,0
1219,robertmuehsig,0
1220,SuEric,0
1221,jcreinhold,1
1222,samteb,0
1223,ajaybgupta,1
1224,karupanerura,0
1225,SeanKilleen,0
1226,Anassdev,0
1227,masesisaac,0
1228,BastinRobin,0
1229,gitzhang,0
1230,jouke,0
1231,ssor,0
1232,filfat,0
1233,Feiyu-Zhang,1
1234,NikFranki,0
1235,EmadElmogy,0
1236,RainVerse,1
1237,sergeichestakov,0
1238,ronanrodrigo,0
1239,JeonMinkyu,1
1240,brentrobbins,0
1241,stevewithington,0
1242,paulfri,0
1243,raznis,1
1244,sizzlemctwizzle,0
1245,arthur-e,0
1246,camdfletcher,1
1247,AstroJacobLi,1
1248,jpshelley,0
1249,dan-compton,1
1250,mingjiezhou,0
1251,ivanGzz,0
1252,spx443812507,0
1253,aviat,0
1254,JeongHoJeong,0
1255,spajeo,1
1256,smallab,0
1257,ssttm169,0
1258,caldmet70,1
1259,Ryan-Efendy,0
1260,lazytyper,0
1261,gbezyuk,0
1262,Kodagrux,0
1263,guhaibin1847,0
1264,LeasyZhang,0
1265,ck37,0
1266,rhasan33,0
1267,natetarrh,0
1268,stornado,0
1269,michaelmp,1
1270,mwickett,0
1271,corncandy,0
1272,msjyoo,0
1273,softmonkeyjapan,0
1274,Wifsimster,0
1275,parryworld,0
1276,nuwe1,0
1277,kreatemore,0
1278,gcg,0
1279,karthikrk1,1
1280,strin,0
1281,himanshumangla,1
1282,mmazzarolo,0
1283,adaoduque,1
1284,leogdion,0
1285,lucasfernog,0
1286,lijiansong,1
1287,oscarrodar,0
1288,ameroyer,1
1289,mlaccetti,0
1290,teshna01,0
1291,silianpan,0
1292,Meemaw,0
1293,alyptik,0
1294,kstolte,0
1295,jprichardson,0
1296,bboalimoe,1
1297,cllemon,0
1298,hitanshu-dhawan,1
1299,silkyland,0
1300,Manoz,0
1301,raryosu,0
1302,Nekmo,0
1303,alajfit,0
1304,profarma-team,0
1305,iamnarendrasingh,1
1306,rote66,1
1307,dygufa,0
1308,stanlee321,0
1309,markfrst,0
1310,hooqee,0
1311,33kuai,0
1312,Yaoshicn,0
1313,jimbru,0
1314,lambday,1
1315,egisatoshi,1
1316,GordonLesti,0
1317,gabrfarina,0
1318,suenot,0
1319,nicklayb,0
1320,SonginCV,1
1321,fdesjardins,0
1322,Seanforfun,1
1323,jeffersonmourak,0
1324,RamaneekGill,0
1325,SoXeon,0
1326,academyyyy12,0
1327,kpphillips,1
1328,Abdelrahman3D,0
1329,anantlk,0
